publisher,pub_est
07th Expansion,2002
11 bit studios,2010
1C Company,1991
2K Games,2005
3D Realms,1987
The 3DO Company,1991
505 Games,2006
5pb.,2005
7th Level,1993
A&F Software,1981
Aackosoft,1983
Aardvark Software,1983
ABC Software,1991
Absolute Entertainment,1986
Access Software,1982
Acclaim Entertainment,1987
Accolade,1984
Acornsoft,1980
Acquire,1994
Active Gaming Media AGM,2006
Activision,1979
Activision Blizzard,2008
Addictive Games,1982
The Adventure Company,2002
Adventure International,1978
Adventure Soft,1983
Affect,1990
Agatsuma Entertainment,1997
Ãge,1999
AGEod,2005
Agetec,1998
Akabeisoft2,2005
Akella,1995
Akupara Games,2016
Aksys,2006
ALcot,2003
AliceSoft,1989
AlphaDream,2000
ADK,1980
Alchemist,1991
Alligata,1983
Allumer,1983
Alten8,2005
Alternative Software,1985
American Game Cartridges,1990
American Laser Games,1989
American Video Entertainment,1990
Amplitude Studios,2011
Amsoft,1984
ANALOG Software,1981
Andamiro,1992
Antic Software,1982
Anuman,2000
APF Electronics Inc.,1970
Apogee Software,2008
Apple Inc.,1976
Aquaplus,1994
AQ Interactive,2005
Arcadia Systems,1987
Arc System Works,1988
Argus Press,1966
Arika,1995
Ariolasoft,1983
Armor Games,2005
Arsys Software,1985
Artdink,1986
Artic Computing,1980
Arush Entertainment,1999
Arxel Tribe,1989
Ascaron,1992
ASC Games,1992
Asmik Corporation of America,1985
Aspyr Media,1996
Astragon,2000
"Atari, Inc",1972
"Atari, SA",2003
Athena,1987
Atlantis Software,1984
AQ Interactive,2000
Artech Digital Entertainment,1982
ASCII Corporation,1977
Atlus,1986
Attic Entertainment Software,1990
Audiogenic Limited,1975
August,2001
Auran Development,1995
Automata UK,1977
Autumn Games,2007
Avalon Hill,1954
Aventuras AD,1987
Aventurine SA,2002
BAM! Entertainment,1999
Bandai Games,1950
Bandai Namco Entertainment,1955
Banpresto,1977
BBC Multimedia,1995
Beagle Bros,1980
Bergsala Lightweight,1995
Berkeley Systems,1987
Bethesda Softworks,1986
Beyond Software,1983
Big Fish Games,2002
Big Five Software,1980
Bigben Interactive,1981
Black Bean Games,2004
Blue Byte,1988
Broderbund,1980
Black Legend,1993
Blizzard Entertainment,1991
Blue Ribbon,1985
Bohemia Interactive,1999
"Box Office, Inc.",1987
Brash Entertainment,2007
Broccoli,1994
Bug-Byte,1980
Bubble Bus Software,1982
BudgeCo,1981
Bullet-Proof Software,1980
Bungie,1991
C&E,1990
California Dreams,1987
California Pacific Computer Company,1979
Camerica,1988
Canal+ Multimedia,1984
Candy Soft,1996
Capcom,1979
Capstone Software,1984
Caramel Box,2002
Carry Lab,1981
Casady & Greene,1984
Cases Computer Simulations,1982
Cave,1994
CBS Electronics,1982
CD Projekt Red,1994
CDS Software,1982
CDV Software Entertainment AG,1989
Centuri,1969
ChessBase,1986
Spike Chunsoft,1984
Cinemax,1998
CI Games,2002
Cinematronics,1975
Cinemaware,1985
Circus,2000
Club Kidsoft,1992
The Coca-Cola Company,1886
Codemasters,1985
Coktel Vision,1985
Coleco,1932
Color Dreams,1988
CommaVid,1981
Commercial Data Systems,1982
Commodore,1954
Compile,1982
Compile Heart,2006
Computer and Video Games,1981
Conspiracy Entertainment,1997
Core Design,1988
Cosmi Corporation,1982
Crave Entertainment,1997
Creative Computing,1974
Creatures,1995
Crimson Cow,2002
CRL Group,1982
Cronosoft,2002
Culture Brain Excel,1980
Cryo Interactive,1989
Crystal Computing,1982
Crystal Dynamics,1992
Crytek,1999
Cyberdreams,1990
Cyberdreams,2007
Cybersoft,1994
D3 Publisher,1996
Daedalic Entertainment,2007
DarXabre,2001
Datamost,1981
Datam Polystar,1990
Datasoft,1980
Data Age,1982
Data Becker,1980
Data East,1976
Davidson & Associates,1983
Davilex Games,1997
Davka,1982
Daybreak Game Company,1995
dB-SOFT,1980
Deep Silver,2002
Delphine Software International,1988
Delta 4,1984
Destination Software,2001
Destineer,2000
Devolver Digital,2008
Digital Fantasia,1982
Digital Integration,1982
Digital Jesters,2003
Digital Leisure,1997
Digital Pictures,1991
Dinamic Multimedia,1993
Dinamic Software,1983
Disney Interactive Studios,1988
DK'Tronics,1981
Domark,1984
Double Fine,2000
Dovetail Games,2008
Dragon Data,1980
DreamCatcher Games,1996
DreamWorks Interactive,1995
DROsoft,1986
Dtp entertainment,1995
Dynamic Planning,1974
Dynamix,1984
EasyGameStation,2001
Ecole Software,1989
Edu-Ware,1979
eGames,1992
Electric Dreams Software,1985
Electronic Arts,1982
Electronic Arts Victor,1993
Electro Brain,1990
The Elektrik Keyboard,1978
ELF Corporation,1989
Elite Systems,1984
Empire Interactive,1987
English Software,1982
Enix,1975
Enlight Software,1993
Enterbrain,1987
Durell Software,1983
Edge Games,1990
Eighting,1993
Electric Transit,1985
Emerald Software,1988
"Encore, Inc.",1994
Entertainment Software Publishing,1997
En Masse Entertainment,2010
Eolith,1996
Eon Digital Entertainment,2000
Epic Games,1991
Epoch Co.,1958
Epyx,1978
ERE Informatique,1981
ESA (formerly Softmax),1994
Europress,1965
Eushully,1998
Examu,1999
Exidy,1974
F&C,1987
FASA,1980
Fabtek,1987
Fandom,2004
Fairchild Semiconductor,1957
Family Soft,1987
Fantasy Software,1983
Faster Than Light,1986
Fathammer,2002
