Developer,Active,City,Autonomous area,Country,Est.,"Notable games, series or franchises",Notes
0verflow,1,Tokyo,,Japan,1997,School DaysSummer DaysCross Days,Visual Novel brand (both developer and publisher)
11 bit studios,1,Warsaw,,Poland,2010,Frostpunk,Indie developer/publisher
1C Company,1,Moscow,,Russia,1991,King's Bounty: Warriors of the North,"Game localization. The game development subsidiary, Snowball Studios [ru], was dissolved and former employees of the studios formed Snowbird Game Studios."
1-Up Studio,1,Tokyo,,Japan,2000,Mother 3,Subsidiary of Nintendo
2K Czech,0,Brno,,Czech Republic,1997,MafiaMafia II,Former subsidiary of 2K Games; previously known as Illusion Softworks; closed in 2017 after merged into Hangar 13
2K Games,1,Novato,California,US,2005,,Developer/publisher/distributor/marketer; owned by Take-Two Interactive
2K Sports,1,Novato,California,US,2005,NBA 2K seriesNHL 2K seriesWWE 2K series,Developer/publisher and subsidiary of 2K Games
343 Industries,1,Redmond,Washington,US,2009,Halo series,"Subsidiary of Microsoft Studios, took over development for the Halo franchise from Bungie"
38 Studios,0,Providence,Rhode Island,US,2006,Kingdoms of Amalur: Reckoning,Defunct in 2012; their assets were acquired by THQ Nordic
3D Realms,1,Garland,Texas,US,1987,Duke Nukem,
42 Entertainment,1,Pasadena,California,US,1993,I Love Bees,
4A Games,1,KievSliema,,UkraineMalta,20052014,Metro series,They moved its headquarters from Ukraine to Malta
5th Cell,1,Bellevue,Washington,US,2003,Scribblenauts series,
989 Studios,0,Foster City,California,US,1995,Twisted Metal III–4Jet Moto 2124,Division of Sony Computer Entertainment America
Acclaim Entertainment,0,Glen Cove,New York,US,1987,,Developer/Publisher; declared Bankruptcy August 2004
Acclaim Studios Austin,0,Santa Clara,California,US,1991,Turok seriesAll-Star Baseball seriesSouth Park series,Acquired by Acclaim Entertainment in 1995
Accolade,0,San Jose,California,US,1984,HardBall! seriesStar Control seriesTest Drive II–III,"Former publisher and developer. Acquired by Atari, SA née Infogrames in 1999, name retired."
Access Games,1,Osaka,,Japan,2002,Deadly Premonition,Subsidiary of Digital Media Lab [ja]
Access Software,0,Salt Lake City,Utah,US,1982,Under a Killing MoonThe Pandora Directive,Acquired by Microsoft
ACE Team,1,Santiago de Chile,,Chile,2007,Zeno Clash series,
