Publisher,Headquarters,Est.,Notable games published,Notes,Active
07th Expansion,Japan,2002,Higurashi When They Cry  Umineko When They Cry  Ciconia When They Cry,,1
11 bit studios,"Warsaw , Poland",2010,Frostpunk This War of Mine Moonlighter,"Also a video game developer, marketer, and distributor",1
1C Company,"Moscow, Russia",1991,Il-2 seriesMen of War series,Specializes in localization for Russia.,1
2K Games,"Novato, California, United States",2005,,"Also a video game developer, marketer, and distributor. Subsidiary and publishing label of Take-Two Interactive.",1
3D Realms,"Garland, Texas, United States",1987,Duke Nukem series,"Also a video game developer. Also known as Apogee Software, Ltd.",1
The 3DO Company,"Redwood City, California, United States",1991,Army Men,Also a video game and video game console developer.,0
505 Games,"Milan, Italy",2006,,Publishing division of Digital Bros. group.,1
5pb.,"Tokyo, Japan",2005,Memories Off,"Label of KID until 2006, and of Cyberfront since then.",1
7th Level,"Dallas, Texas, United States",1993,Monty Python's Complete Waste of Time,Defunct in 1998.,0
A&F Software,"Rochdale, UK",1981,Chuckie Egg,Merged with MC Lothlorien in 1986 to become Icon Design Ltd.,0
Aackosoft,"Zoeterwoude, Netherlands",1983,Various MSX games,Defunct in 1988.,0
Aardvark Software,UK,1983,Frak!,Defunct in 1989.,0
ABC Software,"Buchs, St. Gallen, Switzerland",1991,,Acquired by Electronic Arts in 1998.,0
Absolute Entertainment,"Upper Saddle River, New Jersey, United States",1986,A Boy and His Blob: Trouble on Blobolonia,Defunct in 1995.,0
Access Software,"Salt Lake City, Utah, United States",1982,Tex Murphy,Acquired by Microsoft in 1999; defunct in 2006.,0
Acclaim Entertainment,"Glen Cove, New York, United States",1987,TurokBurnoutWWF WrestleMania,"Brand name acquired by Acclaim Games, and intellectual property acquired by Throwback Entertainment.",0
Accolade,"California, United States",1984,Hardball! seriesStar Control seriesTest Drive series,"Also a video game developer. Acquired by Atari, SA née Infogrames in 1999, name retired.",0
Acornsoft,"Cambridge, England, UK",1980,Various Acorn Electron games,Rights sold to Superior Software in 1986.,0
Acquire,"Tokyo, Japan",1994,Akiba's Trip,Acquired by GungHo Online Entertainment in 2011,1
Active Gaming Media AGM,"Osaka, Japan",2006,,"PLAYISM part of Active Gaming Media Inc., focuses on the localization and distribution of video games.",1
Activision,"Santa Monica, California, United States",1979,Call of DutyGuitar HeroSpyro,Also a video game developer. Acquired Neversoft in 1999 and Infinity Ward in 2003; acquired several other developers as well. Merged with Vivendi to form Activision Blizzard in 2008.,1
Activision Blizzard,"Santa Monica, California, United States",2008,,Formed by merger between Activision and Vivendi Games in 2008.,1
Addictive Games,"Milton Keynes, England, UK",1982,Football Manager,"Acquired by Prism Leisure Corporation in 1987, which continued to use the Addictive Games label until 1992.",0
The Adventure Company,"Toronto, Ontario, Canada",2002,Still Life,"Label of DreamCatcher Interactive until 2006, of JoWooD Productions Software from then until 2011, and of Nordic Games since then.",1
Adventure International,"Longwood, Florida, United States",1978,Adventureland,Defunct in 1985.,0
Adventure Soft,"Birmingham, England, UK",1983,Simon the Sorcerer,Still sells old games but no longer publishes new games under the name.,0
Affect,Japan,1990,,Defunct in 2008.,0
Agatsuma Entertainment,"Tokyo, Japan",1997,Drawn to Life,Defunct in 2016.,0
�ge,"Tokyo, Japan",1999,Akane Maniax,"Division of Acid Co., Ltd.",1
AGEod,"Grenoble, France",2005,Birth of America,Acquired by Paradox Interactive in 2009 and renamed to Paradox France. They became independent in 2012 and their games are now published by The Slitherine Group.,0
Agetec,"Sunnyvale, California, United States",1998,,Focuses on distributing Japanese titles in the US.,0
Akabeisoft2,Japan,2005,Sharin no Kuni: The Girl Among the Sunflowers,,1
Akella,"Moscow, Russia",1995,Age of Sail IIAge of Pirates seriesSea Dogs,Also a video game developer. Defunct in 2012.,0
Akupara Games,"Los Angeles, California, United States",2016,Whispering Willows The Metronomicon: Slay the Dance Floor,"Also a video game developer, and does work for hire console and mobile porting.",1
Aksys,"Torrance, California, United States",2006,Guilty Gear series,,1
ALcot,Japan,2003,Clover Heart's,,1
AliceSoft,Japan,1989,Tournament of the Gods,,1
AlphaDream,"Tokyo, Japan",2000,Koto Battle: Tengai no Moribito,No longer publishes video games.,0
ADK,"Ageo, Saitama, Japan",1980,Exciting Soccer,Known as Alpha Denshi Corporation in 1993. Defunct in 2003.,0
Alchemist,"Tokyo, Japan",1991,Baldr Force,Defunct in 2016.,0
Alligata,"Sheffield, UK",1983,Blagger,Acquired by Superior Software in 1987.,0
Allumer,"Tokyo, Japan",1983,Blandia,Defunct in 1999.,0
Alten8,"Luton, England, UK",2005,Space Tanks,Also a video game developer.,0
Alternative Software,"Castleford, UK",1985,Count Duckula,,1
American Game Cartridges,"Chandler, Arizona, United States",1990,Chillder,Defunct in 1994.,0
American Laser Games,"Albuquerque, New Mexico, United States",1989,Mad Dog McCree,"Acquired by its former division, Her Interactive, in 1999.",0
American Video Entertainment,"San Jose, California, United States",1990,Wally Bear and the NO! Gang,Published last game in 1994.,0
Amplitude Studios,"Paris, France",2011,Endless Space,Acquired by Sega in 2016 and their games are now published by Sega.,0
Amsoft,"Brentwood, Essex, UK",1984,Various Amstrad CPC games,Publishing arm of Amstrad until 1989.,0
ANALOG Software,"Worcester, Massachusetts, United States",1981,Various Atari 8-bit games,Software publishing arm of ANALOG Computing. Defunct in 1989.,0
Andamiro,"Seoul, South Korea",1992,Pump It Up,Known as Oksan Entertainment Co. Ltd. until 1999.,1
Antic Software,"Marion, Ohio, United States",1982,Caverns of Mars II,Software publishing arm of Antic. Defunct in 1990.,0
Anuman,France,2000,,Also a video game developer.,1
APF Electronics Inc.,"New York City, United States",1970,APF TV Fun,Defunct in 1983.,0
Apogee Software,United States,2008,,Also a video game developer.,0
Apple Inc.,"Cupertino, California, United States",1976,Lemonade Stand,Known as Apple Computer until 2007.,1
Aquaplus,"Osaka, Japan",1994,Utawarerumono,,1
AQ Interactive,"Tokyo, Japan",2005,Bullet Witch,Defunct in 2011.,0
Arcadia Systems,"Costa Mesa, California, United States",1987,Silver Surfer,Division of Mastertronic. Defunct in 1991.,0
Arc System Works,"Tokyo, Japan",1988,BlazBlue seriesGuilty Gear series,Also a video game developer.,1
Argus Press,UK,1966,Nether Earth,"Published games through its Argus Press Software division, which was acquired in 1987 and renamed Grandslam Entertainment.",0
Arika,"Tokyo, Japan",1995,Technicbeat,Also a video game developer.,1
Ariolasoft,Germany,1983,,Software publishing arm of Ariola Records. Reestablished as United Software in 1990.,0
Armor Games,United States,2005,,"Published flash titles before branching out into mobile, PC, and console markets.",1
Arsys Software,"Tokyo, Japan",1985,Star Cruiser,Defunct in 2001.,0
Artdink,"Tokyo, Japan",1986,A-Train,,0
Artic Computing,"Brandesburton, UK",1980,Bear Bovver,Defunct in 1986.,0
Arush Entertainment,"Scottsdale, Arizona, United States",1999,Duke Nukem: Manhattan Project,Acquired by HIP Interactive in 2004; defunct in 2005.,0
Arxel Tribe,Slovenia,1989,The Legend of the Prophet and the Assassin,Last game published in 2003.,0
Ascaron,"Gütersloh, Germany",1992,The Patrician,Known as Ascom until 1996. Defunct in 2009. Most assets acquired by Kalypso Media.,0
ASC Games,"Darien, Connecticut, United States",1992,Sanitarium,Defunct in 2000.,0
Asmik Corporation of America,Japan,1985,,Merged with Ace Entertainment.,0
Aspyr Media,"Austin, Texas, United States",1996,,Specializes in porting Windows games to Mac OS.,1
Astragon,"Mönchengladbach, Germany",2000,Family Park Tycoon,,1
"Atari, Inc","Sunnyvale, California, United States",1972,PongBreakoutAsteroidsCentipede,"Bought by Warner Bros. in 1976. Closed in 1984, assets split between Atari Corporation and Atari Games.",0
